Ссылка,Изображение,Название,Старая цена,Новая цена,Автор

https://www.chitai-gorod.ru/product/chenseri-leyn-knigi-komnaty-koshmary-graficheskiy-roman-3055405,https://content.img-gorod.ru/pim/products/images/ab/5f/019101ea-cc81-7626-81a4-191d6d2dab5f.jpg,Ченсери-лейн. Книги. Комнаты. Кошмары (графический роман),1 069 ₽,844 ₽,"Blackbanshee , Дебора Мейфэр"

https://www.chitai-gorod.ru/product/bleksed-kniga-5-itak-vse-padaet-chast-vtoraya-3037861,https://content.img-gorod.ru/pim/products/images/f0/88/018f5ca4-0339-7f96-99db-dd6dad5df088.jpg,"Блэксэд. Книга 5: Итак, все падает. Часть вторая",1 409 ₽,1 219 ₽,Диас Хуан Каналес

https://www.chitai-gorod.ru/product/mayor-grom-igra-predystoriya-kniga-komiksov-3043369,https://content.img-gorod.ru/pim/products/images/1b/ef/019002f8-4246-79c6-bc0d-ea5ec9a01bef.jpg,Майор Гром: Игра. Предыстория: книга комиксов,989 ₽,671 ₽,Артём Габрелянов

https://www.chitai-gorod.ru/product/the-boys-pacany-omnibus-tom-3-3053623,https://content.img-gorod.ru/pim/products/images/c7/9e/0190c936-0c06-7940-80ef-20204c6cc79e.jpg,The Boys. Пацаны. Омнибус. Том 3,2 309 ₽,1 996 ₽,"Дэрик Робертсон, Гарт Эннис"

https://www.chitai-gorod.ru/product/dyra-3055512,https://content.img-gorod.ru/pim/products/images/b8/5c/0191037e-9e23-70d1-a185-49645bd7b85c.jpg,Дыра,1 069 ₽,878 ₽,Нала Пиксельная

https://www.chitai-gorod.ru/product/izbrannik-tmy-graficheskiy-roman-3049948,https://content.img-gorod.ru/pim/products/images/50/a7/0190b681-bd4e-787c-a97a-c85e537b50a7.jpg,Избранник Тьмы. Графический роман,2 002 ₽,1 668 ₽,Брендон Сандерсон

https://www.chitai-gorod.ru/product/zmey-sergey-i-oleg-strateg-kniga-komiksov-3043373,https://content.img-gorod.ru/pim/products/images/11/0c/019002f8-53d8-7e32-be70-6336db7d110c.jpg,Змей Сергей и Олег Стратег: книга комиксов,619 ₽,413 ₽,"Кирилл Кутузов, К. Нуретдинова"

https://www.chitai-gorod.ru/product/karamelnyy-latte-3039413,https://content.img-gorod.ru/pim/products/images/f7/81/018f8c55-effd-7218-866d-eaed4c6cf781.jpg,Карамельный латте,953 ₽,794 ₽,Woorie

https://www.chitai-gorod.ru/product/mayor-grom-igra-predystoriya-kinooblozhka-3043368,https://content.img-gorod.ru/pim/products/images/51/5e/01910529-1275-7628-b0f6-510c31bd515e.jpg,Майор Гром: Игра. Предыстория: книга комиксов,989 ₽,671 ₽,Артём Габрелянов

https://www.chitai-gorod.ru/product/lovec-babochek-3036274,https://content.img-gorod.ru/pim/products/images/87/38/018eeed1-5533-7e6c-b5e7-0c37013e8738.jpg,Ловец бабочек,989 ₽,671 ₽,

https://www.chitai-gorod.ru/product/ty-moy-tom-2-3052431,https://content.img-gorod.ru/pim/products/images/6b/da/0190a531-556f-75f0-ae22-88991c996bda.jpg,Ты мой! Том 2,1 379 ₽,1 094 ₽,Джо Котляр

https://www.chitai-gorod.ru/product/smysl-tom-1-graficheskiy-roman-3025949,https://content.img-gorod.ru/pim/products/images/95/39/01908647-3a0a-7629-a74b-a87af8ae9539.jpg,Смысл. Том 1. Графический роман,947 ₽,789 ₽,Woorie

https://www.chitai-gorod.ru/product/mayor-grom-tom-1-chumnoy-doktor-kniga-pervaya-kniga-komiksov-2473448,https://content.img-gorod.ru/pim/products/images/a7/e1/018edaae-2932-7eee-8e16-cb1a73b2a7e1.jpg,Майор Гром. Том 1. Чумной доктор: книга первая. Книга комиксов,829 ₽,568 ₽,Артём Габрелянов

https://www.chitai-gorod.ru/product/evgeniy-onegin-graficheskiy-roman-3024227,https://content.img-gorod.ru/pim/products/images/33/c1/018fb0c3-a74d-7062-9649-fff0453c33c1.jpg,Евгений Онегин. Графический роман,939 ₽,761 ₽,Александр Пушкин

https://www.chitai-gorod.ru/product/professiya-vedma-tom-1-3042980,https://content.img-gorod.ru/pim/products/images/4a/6a/01903b15-8625-7505-b828-d9280f4d4a6a.jpg,Профессия: Ведьма. Том 1,,1 459 ₽,Ольга Громыко

https://www.chitai-gorod.ru/product/chumnoy-doktor-altan-specvypusk-2997297,https://content.img-gorod.ru/pim/products/images/73/5b/018eeccc-aa6b-7ed3-873e-61167445735b.jpg,Чумной Доктор. Алтан. Спецвыпуск,759 ₽,516 ₽,"Валерия Калинина, Анастасия Ким, И. Соколова"

https://www.chitai-gorod.ru/product/the-boys-pacany-tom-9-lihaya-poezdka-2964090,https://content.img-gorod.ru/pim/products/images/53/9e/018f60cd-fac9-7eca-8d70-fce3a6c4539e.jpg,The Boys: Пацаны. Том 9. Лихая поездка,1 539 ₽,1 307 ₽,Гарт Эннис

https://www.chitai-gorod.ru/product/brsrk-kianu-rivza-11-3041473,https://content.img-gorod.ru/pim/products/images/d1/23/018f8c56-58da-7828-a9c8-b90e1084d123.jpg,"""БРСРК"" Киану Ривза №11",379 ₽,308 ₽,Киану Ривз

https://www.chitai-gorod.ru/product/chumnoy-doktor-tom-8-chuzhoy-sredi-svoih-3036272,https://content.img-gorod.ru/pim/products/images/56/48/018ff821-e8a0-7b61-a531-7de2b7625648.jpg,Чумной Доктор. Том 8. Чужой среди своих,,1 149 ₽,Наталия Воронцова

https://www.chitai-gorod.ru/product/komiks-pir-teney-tom-1-3046999,https://content.img-gorod.ru/pim/products/images/c2/92/01901a2c-e931-7290-973c-fd3e1557c292.jpg,"Комикс ""Пир теней"". Том 1",1 319 ₽,995 ₽,Анви Рид

https://www.chitai-gorod.ru/product/sem-zhizney-alehandro-hodorovski-3053020,https://content.img-gorod.ru/pim/products/images/ea/32/0190e306-f255-7925-8724-23e83869ea32.jpg,Семь жизней Алехандро Ходоровски,2 529 ₽,2 191 ₽,Алехандро Ходоровски

https://www.chitai-gorod.ru/product/brsrk-kianu-rivza-10-3035973,https://content.img-gorod.ru/pim/products/images/18/be/018f61f5-0b67-79b3-902a-c286072318be.jpg,"""БРСРК"" Киану Ривза № 10",379 ₽,308 ₽,Киану Ривз

https://www.chitai-gorod.ru/product/mayor-grom-tom-5-igra-kinooblozhka-3043375,https://content.img-gorod.ru/pim/products/images/14/81/018ff822-0257-70d9-a466-9e4adb611481.jpg,Майор Гром. Том 5. Игра (Кинообложка),1 099 ₽,722 ₽,Артём Габрелянов

https://www.chitai-gorod.ru/product/duh-moey-obshchagi-oskolki-3045007,https://content.img-gorod.ru/pim/products/images/72/24/018ff106-60cf-704e-885a-399a9c277224.jpg,Дух моей общаги. Осколки,629 ₽,514 ₽,Лина Килевая

https://www.chitai-gorod.ru/product/do-inkala-3015731,https://content.img-gorod.ru/pim/products/images/b9/ad/018fb854-635f-7491-88f5-d26a6748b9ad.jpg,До Инкала,3 038 ₽,2 532 ₽,Алехандро Ходоровски

https://www.chitai-gorod.ru/product/mayor-grom-tom-3-den-svyatogo-patrika-kniga-komiksov-2473450,https://content.img-gorod.ru/pim/products/images/ca/a5/018edaae-2b8a-74fd-8c20-05ae68f6caa5.jpg,Майор Гром. Том 3. День Святого Патрика. Книга комиксов,1 249 ₽,826 ₽,Артём Габрелянов

https://www.chitai-gorod.ru/product/semeyka-addams-dyavolyuciya-3036832,https://content.img-gorod.ru/pim/products/images/09/a3/018f61f6-0563-7902-bdf6-9f9c7f4a09a3.jpg,Семейка Аддамс: Дьяволюция,2 542 ₽,2 118 ₽,Кевин Мизерокки

https://www.chitai-gorod.ru/product/k-sebe-buk-30-komiksov-o-poiske-svoego-ya-3026991,https://content.img-gorod.ru/pim/products/images/9f/17/018f61e8-5559-7dd1-8378-ea66bf779f17.jpg,"К себе бук. 30 комиксов о поиске своего ""я""",1 259 ₽,994 ₽,"Икки , Нюшанчел ,  AxelStardust,  BARSUK,  Elle,  Ferafel,  Geo Saiko,  Germanich,  GrayPillow,  JoN-T,  Solota,  VAЛ,  aligner,  gingerbread,  herbivorobert,  laïka,  onionchess,  radioaktive hyoscyamus,  storiel,  Бонс,  Пшенка из ВА,  каг’тавый,  мёрфа,  нет глаз - нет слез,  параграфика,  птица т.,  тихо бысть,  у. цвиркун,  цвай,  чехарда"

https://www.chitai-gorod.ru/product/chumnoy-doktor-tom-7-ragnar-chast-2-2991836,https://content.img-gorod.ru/pim/products/images/6a/49/018eec6c-87fc-7471-b7e8-777f05536a49.jpg,Чумной Доктор. Том 7. Рагнар. Часть 2,919 ₽,619 ₽,"Екатерина Грищенко, Джамиля Зульпикарова, Анастасия Ким"

https://www.chitai-gorod.ru/product/komiks-chumnoy-doktor-tom-1-kapkan-2830185,https://content.img-gorod.ru/pim/products/images/67/1d/018ee4c4-5abf-7c9c-933f-6774bb5b671d.jpg,Комикс Чумной доктор. Том 1. Капкан,829 ₽,568 ₽,Наталия Воронцова

https://www.chitai-gorod.ru/product/bleksed-kniga-4-itak-vse-padaet-chast-pervaya-2932008,https://content.img-gorod.ru/pim/products/images/1f/3a/018f5ca5-85b9-7f69-9d7a-741cb0a01f3a.jpg,"Блэксэд. Книга 4. Итак, все падает. Часть первая",1 409 ₽,1 219 ₽,Диас Хуан Каналес

https://www.chitai-gorod.ru/product/hudozhestvennyy-roman-mayor-grom-igra-slov-kinooblozhka-3043370,https://content.img-gorod.ru/pim/products/images/89/01/018ff822-00e2-71a6-9557-33d7872a8901.jpg,Художественный роман Майор Гром. Игра слов кинообложка,,1 149 ₽,Кирилл Кутузов

https://www.chitai-gorod.ru/product/rosomaha-grega-raki-polnoe-izdanie-3028780,https://content.img-gorod.ru/pim/products/images/e5/52/018f61eb-8354-7070-9f27-485669b8e552.jpg,"""Росомаха"" Грега Раки. Полное издание",2 529 ₽,2 191 ₽,Грег Рака

https://www.chitai-gorod.ru/product/hraniteli-graficheskiy-roman-2433249,https://content.img-gorod.ru/pim/products/images/2d/2f/018f5cff-cc22-7c20-b7c0-3d304d422d2f.jpg,Хранители: графический роман,3 249 ₽,2 858 ₽,Алан Мур

https://www.chitai-gorod.ru/product/dyshi-graficheskiy-roman-2994725,https://content.img-gorod.ru/pim/products/images/e3/48/018f617a-011d-71ab-bf1b-faa15599e348.jpg,Дыши: графический роман,939 ₽,748 ₽,Woorie

https://www.chitai-gorod.ru/product/linas-comics-sbornik-lampovyh-komiksov-3039708,https://content.img-gorod.ru/pim/products/images/32/31/018fb102-22ff-77b3-b3f7-891874873231.jpg,Linas Comics. Сборник ламповых комиксов,989 ₽,806 ₽,Ангелина Хомичук

https://www.chitai-gorod.ru/product/belyy-lama-3036707,https://content.img-gorod.ru/pim/products/images/d6/bc/018f61c6-66f5-7afa-b738-b2f50bd2d6bc.jpg,Белый лама,3 079 ₽,2 678 ₽,Алехандро Ходоровски

https://www.chitai-gorod.ru/product/instrukciya-k-zhizni-s-lyubovyu-ot-shkya-3005689,https://content.img-gorod.ru/pim/products/images/ff/61/018f61b2-fba5-7bcc-9368-7bfcbf31ff61.jpg,Инструкция к жизни. С любовью от ШКЯ,1 259 ₽,1 034 ₽,Ева Морозова

https://www.chitai-gorod.ru/product/strazh-klyuch-ot-raya-3042986,https://content.img-gorod.ru/pim/products/images/eb/2a/0190a387-0318-796a-8dc8-6aabc70eeb2a.jpg,Страж. Ключ от рая,,1 669 ₽,Алексей Пехов

https://www.chitai-gorod.ru/product/brat-25-let-kniga-komiksov-2942092,https://content.img-gorod.ru/pim/products/images/28/02/018ee8fa-bd35-7b20-9b4c-edcc462d2802.jpg,Брат. 25 лет. Книга комиксов,1 019 ₽,681 ₽,Алексей Замский

https://www.chitai-gorod.ru/product/akademiya-ambrella-2785884,https://content.img-gorod.ru/pim/products/images/f8/27/018f5e88-0773-7724-a6ca-6cf6f3f7f827.jpg,Академия Амбрелла,1 649 ₽,527 ₽,Джерард Уэй

https://www.chitai-gorod.ru/product/dyuna-dom-atreydesov-tom-2-3035965,https://content.img-gorod.ru/pim/products/images/d9/3b/018f61f5-4b00-70ed-b2a2-bf98050ed93b.jpg,Дюна. Дом Атрейдесов. Том 2,1 479 ₽,1 248 ₽,"Кевин Джей Андерсон, Брайан Герберт"

https://www.chitai-gorod.ru/product/istoriya-rossii-v-komiksah-ot-drevnih-slavyan-do-vladimira-putina-2770030,https://content.img-gorod.ru/pim/products/images/59/70/018fa195-f80e-73c8-ab73-eeb49f1a5970.jpg,История России в комиксах. От древних славян до Владимира Путина,1 027 ₽,856 ₽,

https://www.chitai-gorod.ru/product/mayor-igor-grom-tom-7-nasmert-kniga-komiksov-3043371,https://content.img-gorod.ru/pim/products/images/d7/1e/019002f8-49e0-7a28-8963-bd4f6364d71e.jpg,Майор Игорь Гром. Том 7. Насмерть: книга комиксов,,919 ₽,"Евгений Еронин, Анастасия Троицкая"

https://www.chitai-gorod.ru/product/frankenshteyn-meri-shelli-graficheskiy-roman-3050730,https://content.img-gorod.ru/pim/products/images/fc/dc/0190abe7-680d-75f8-ad3c-7cc9979dfcdc.jpg,«Франкенштейн» Мэри Шелли. Графический роман,2 519 ₽,1 877 ₽,Жорж Бесс

https://www.chitai-gorod.ru/product/vospominaniya-nekomaty-koshki-oborotnya-graficheskiy-roman-3028267,https://content.img-gorod.ru/pim/products/images/b5/71/018fb07b-6552-7377-96b9-ee10c613b571.jpg,"Воспоминания нэкоматы, кошки-оборотня: графический роман",1 159 ₽,943 ₽,Марга Биацци

https://www.chitai-gorod.ru/product/chitery-tom-1-noklip-3045641,https://content.img-gorod.ru/pim/products/images/1d/64/0190023b-ffad-7f1b-a9e5-079a15161d64.jpg,Читеры. Том 1. Ноклип,919 ₽,619 ₽,

https://www.chitai-gorod.ru/product/konan-polnoe-izdanie-tom-2-3042979,https://content.img-gorod.ru/pim/products/images/20/a8/018fde70-500d-70e3-b370-ed8a041320a8.jpg,Конан. Полное Издание. Том 2,,2 199 ₽,Курт Бьюсик

https://www.chitai-gorod.ru/product/bleksed-kniga-3-amarillo-rasskazy-istoriya-graficheskiy-roman-2748355,https://content.img-gorod.ru/pim/products/images/d5/1f/018f5ca5-7ffd-7246-bcb1-2a7e29f7d51f.jpg,Блэксэд. Книга 3. Амарилло. Рассказы. История. Графический роман,1 669 ₽,1 473 ₽,Диас Хуан Каналес

https://www.chitai-gorod.ru/product/chelovek-pauk-strashnaya-ugroza-2931159,https://content.img-gorod.ru/pim/products/images/7a/2b/018faee0-29ee-7087-951d-251057ed7a2b.jpg,Человек-Паук. Страшная угроза,999 ₽,319 ₽,Дэниел Кванц

https://www.chitai-gorod.ru/product/voyna-i-mir-graficheskiy-roman-3018072,https://content.img-gorod.ru/pim/products/images/1a/35/018eedee-d295-7fb2-92a4-1faabd7a1a35.jpg,Война и мир: графический роман,1 779 ₽,1 324 ₽,"Александр Полторак, Дмитрий Чухрай"

https://www.chitai-gorod.ru/product/strazh-malenkogo-narodca-kniga-1-maz-fei-slezy-drakony-3049950,https://content.img-gorod.ru/pim/products/images/e0/21/0190b682-ac6a-7467-b7ae-720d517ce021.jpg,Страж маленького народца. Книга 1. Мазь феи. Слёзы драконы,969 ₽,813 ₽,

https://www.chitai-gorod.ru/product/betmen-proekt-temnyy-rycar-graficheskiy-roman-2597753,https://content.img-gorod.ru/pim/products/images/d5/d2/018f5ca0-e86d-751a-912a-905f714ad5d2.jpg,"Бэтмен : Проект ""Темный рыцарь"" : графический роман",209 ₽,141 ₽,Эд Брубейкер

https://www.chitai-gorod.ru/product/maus-graficheskiy-roman-2394974,https://content.img-gorod.ru/pim/products/images/38/6b/018fadf0-6703-7595-9380-e0e44584386b.jpg,Маус: графический роман,2 089 ₽,1 801 ₽,Арт Шпигельман

https://www.chitai-gorod.ru/product/konan-polnoe-izdanie-tom-3-3042978,https://content.img-gorod.ru/pim/products/images/31/dd/018fde70-4048-7638-b6d2-9ac0fe4531dd.jpg,Конан. Полное Издание. Том 3,,2 199 ₽,Курт Бьюсик

https://www.chitai-gorod.ru/product/bleksed-kn-1-2496268,https://content.img-gorod.ru/pim/products/images/9a/62/018f5ca5-820b-73da-9302-63ac2f139a62.jpg,Блэксэд. Кн. 1,1 669 ₽,1 473 ₽,Диас Хуан Каналес

https://www.chitai-gorod.ru/product/mir-igry-pathologic-2-hroniki-vtoroy-epidemii-3009493,https://content.img-gorod.ru/pim/products/images/55/e9/018f60d5-feb9-7f08-851c-1cca494b55e9.jpg,Мир игры Pathologic 2. Хроники второй эпидемии,3 199 ₽,2 776 ₽,

https://www.chitai-gorod.ru/product/loputyn-cotton-tales-tom-1-illyuzii-2975779,https://content.img-gorod.ru/pim/products/images/25/5a/018eea89-2901-7595-a16d-3a95ac84255a.jpg,Loputyn. Cotton Tales. Том 1. Иллюзии,1 249 ₽,968 ₽,Loputyn

https://www.chitai-gorod.ru/product/w-i-t-c-h-chast-1-dvenadcat-portalov-tom-1-2839330,https://content.img-gorod.ru/pim/products/images/fc/62/018f5f2e-5d08-7f89-bacc-9a81ae31fc62.jpg,W.I.T.C.H. Часть 1. Двенадцать порталов. Том 1,1 759 ₽,1 508 ₽,Элизабетта Ньоне

https://www.chitai-gorod.ru/product/iz-ada-3006150,https://content.img-gorod.ru/pim/products/images/3b/d3/018eed4d-365f-75cc-b17d-59a58ee53bd3.jpg,Из ада,4 409 ₽,3 172 ₽,Алан Мур

https://www.chitai-gorod.ru/product/rusy-protiv-yashcherov-na-lune-3036903,https://content.img-gorod.ru/pim/products/images/d7/ff/018eeed6-eb1f-7450-8f57-7e514172d7ff.jpg,Русы против Ящеров: На Луне,,519 ₽,Александр Кондратьев

https://www.chitai-gorod.ru/product/rusy-protiv-yashcherov-v-afrike-3042984,https://content.img-gorod.ru/pim/products/images/d0/22/01903b15-9cc8-70f4-8a9d-0a27fa16d022.jpg,Русы Против Ящеров. В Африке,,519 ₽,"Александр Кондратьев, Дмитрий Чинов"

https://www.chitai-gorod.ru/product/rusy-protiv-yashcherov-3024780,https://content.img-gorod.ru/pim/products/images/9c/bf/018eee51-b051-7bce-b9ba-485a8a559cbf.jpg,Русы против Ящеров,,519 ₽,"Дмитрий Чинов, Роман Шевердин"

https://www.chitai-gorod.ru/product/zemlya-koroley-trefovyy-tom-2822666,https://content.img-gorod.ru/pim/products/images/f0/4c/018f5ee1-0c1d-740a-a296-d763dac4f04c.jpg,Земля Королей. Трефовый том,1 703 ₽,1 250 ₽,Федор Нечитайло

https://www.chitai-gorod.ru/product/mayor-grom-rasskazy-kniga-komiksov-3036273,https://content.img-gorod.ru/pim/products/images/68/ab/019002f8-3e0a-775f-b4db-82fefda168ab.jpg,Майор Гром. Рассказы: книга комиксов,919 ₽,619 ₽,"Наталия Воронцова, Алексей Замский, Кирилл Кутузов"

https://www.chitai-gorod.ru/product/zaychik-lyubov-smert-i-klubnika-2983193,https://content.img-gorod.ru/pim/products/images/49/5c/018f616b-643f-77c6-983f-b883b541495c.jpg,"Зайчик. Любовь, смерть и клубника",886 ₽,738 ₽,"Джокер Сайконо, Евгений Сокарев, Юлия Эйдина"

https://www.chitai-gorod.ru/product/loputyn-cotton-tales-tom-2-realnost-graficheskiy-roman-2984957,https://content.img-gorod.ru/pim/products/images/6a/19/018eeb95-becd-7180-9afe-342711066a19.jpg,Loputyn. Cotton Tales. Том 2. Реальность: графический роман,1 249 ₽,968 ₽,Loputyn

https://www.chitai-gorod.ru/product/drakula-brema-stokera-3036838,https://content.img-gorod.ru/pim/products/images/94/51/01907871-0d5e-7cd7-91e6-2bc3d9479451.jpg,"""Дракула"" Брэма Стокера",2 729 ₽,1 983 ₽,Жорж Бесс

https://www.chitai-gorod.ru/product/sosunki-3011813,https://content.img-gorod.ru/pim/products/images/4e/4c/018fcd00-7578-7af4-a2a4-287a74d24e4c.jpg,Сосунки,879 ₽,715 ₽,Карки

https://www.chitai-gorod.ru/product/assassin-s-creed-valgalla-komiks-3035685,https://content.img-gorod.ru/pim/products/images/49/02/018fa2fe-a59a-7779-8b24-f13c6c104902.jpg,Assassin’s Creed. Вальгалла. Комикс,1 319 ₽,1 086 ₽,

https://www.chitai-gorod.ru/product/bleksed-kn-2-2519235,https://content.img-gorod.ru/pim/products/images/d4/a5/018f5ca5-8401-771b-8be4-30962534d4a5.jpg,Блэксэд. Кн. 2,1 989 ₽,1 759 ₽,Диас Хуан Каналес

https://www.chitai-gorod.ru/product/ad-dante-graficheskiy-roman-3001050,https://content.img-gorod.ru/pim/products/images/74/54/018fa2d5-37bd-714f-85b0-41b93efb7454.jpg,Ад Данте. Графический роман,1 869 ₽,1 606 ₽,"Поль Бриззи, Гаэтан Бриззи"

https://www.chitai-gorod.ru/product/prestuplenie-i-nakazanie-graficheskiy-roman-3026129,https://content.img-gorod.ru/pim/products/images/ed/8a/018fb84e-af77-71b1-8671-2be76737ed8a.jpg,Преступление и наказание. Графический роман,879 ₽,715 ₽,Федор Достоевский

